Parking ID,Car Park Name (English),Car Park Name (Traditional Chinese),Car Park Name (Simplified Chinese),Basic Information,Parking Vacancy Data
TDC14P4239,Tin Shing Car Park A,天盛A停車場,天盛A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4239.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4239.json
TDC14P4243,Tin Yiu Car Park A ,天耀A停車場,天耀A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4243.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4243.json
TDC14P4246,Tin Tsz Car Park ,天慈停車場,天慈停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4246.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4246.json
TDC14P4258,Sha Kok Car Park 2,沙角2號停車場,沙角2号停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4258.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4258.json
TDC14P4259,Sha Kok Car Park 1,沙角1號停車場,沙角1号停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4259.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4259.json
TDC14P4312,Kwong Fuk Car Park ,廣褔停車場,广褔停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4312.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4312.json
TDC14P4320,Tai Wo Car Park A ,太和A停車場,太和A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4320.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4320.json
TDC14P4321,Tai Wo Car Park B ,太和B停車場,太和B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4321.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4321.json
TDC14P4322,Fu Shin Car Park ,富善停車場,富善停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4322.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4322.json
TDC14P4327,Tai Yuen Car Park A ,大元A停車場,大元A停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4327.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4327.json
TDC14P4328,Tai Yuen Car Park B,大元B停車場,大元B停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4328.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4328.json
TDC14P4330,Fu Heng Car Park A,富亨停車場A,富亨停车场A,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4330.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4330.json
TDC14P4332,Lok Fu UNY Car Park ,樂富生活創庫停車場,乐富生活创库停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4332.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4332.json
TDC14P4334,Lok Fu Market Car Park ,樂富街市停車場,乐富街市停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4334.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4334.json
TDC14P4335,Lok Fu Zone B Car Park ,樂富B區停車場,乐富B区停车场,https://resource.data.one.gov.hk/td/carpark/basic_info_tdc14p4335.json,https://resource.data.one.gov.hk/td/carpark/vacancy_tdc14p4335.json
